Size:56961, Duration(usec):1044596
Size:48602, Duration(usec):145132
Size:152517, Duration(usec):1941372
Size:48742, Duration(usec):167178
Size:73841, Duration(usec):3159477
Size:436987, Duration(usec):4491438
Size:749494, Duration(usec):6200011
Size:21630, Duration(usec):157166
Size:2512219, Duration(usec):29180976
Size:1896962, Duration(usec):25547583
Size:28432, Duration(usec):145158
Size:10478, Duration(usec):28593213
Size:1861328, Duration(usec):8364660
Size:55554, Duration(usec):3016457
Size:21740, Duration(usec):3216084
Size:4718048, Duration(usec):52436905
Size:592599, Duration(usec):9500857
Size:11302, Duration(usec):21749885
Size:1553795, Duration(usec):18448940
Size:74, Duration(usec):105670
Size:4902, Duration(usec):22161658
Size:3781362, Duration(usec):41668418
Size:4165940, Duration(usec):39339841
Size:223952, Duration(usec):48174682
Size:21497, Duration(usec):48187951
Size:595692, Duration(usec):21808918
Size:535871, Duration(usec):45488931
Size:17730939, Duration(usec):81853302
Size:8851364, Duration(usec):111801098
Size:3898, Duration(usec):195573
Size:4822459, Duration(usec):55377494
Size:527077, Duration(usec):6404665
Size:5576341, Duration(usec):63916298
Size:6303, Duration(usec):54278901
Size:17252, Duration(usec):5300148
Size:29109, Duration(usec):16392658
Size:55982, Duration(usec):4705141
Size:25861, Duration(usec):77318986
Size:62129, Duration(usec):41897023
Size:20467, Duration(usec):60687430
Size:37434, Duration(usec):50804561
Size:43493, Duration(usec):74704361
Size:42906, Duration(usec):105899346
Size:2350160, Duration(usec):57276897
Size:29660, Duration(usec):74443723
Size:24263, Duration(usec):29526593
Size:16241, Duration(usec):74257435
Size:4896, Duration(usec):646568
Size:47151, Duration(usec):764045
Size:2533, Duration(usec):72563324
