Size:56961, Duration(usec):1291893
Size:48602, Duration(usec):1589558
Size:152517, Duration(usec):2602575
Size:48742, Duration(usec):949045
Size:73841, Duration(usec):1190528
Size:436987, Duration(usec):1112675
Size:749494, Duration(usec):9141053
Size:21630, Duration(usec):188496
Size:2512219, Duration(usec):27306710
Size:1896962, Duration(usec):21537741
Size:28432, Duration(usec):202626
Size:10478, Duration(usec):26945318
Size:1861328, Duration(usec):19386629
Size:55554, Duration(usec):216596
Size:21740, Duration(usec):235189
Size:4718048, Duration(usec):47559862
Size:592599, Duration(usec):24794869
Size:11302, Duration(usec):19227672
Size:1553795, Duration(usec):17514823
Size:74, Duration(usec):9944
Size:4902, Duration(usec):22733830
Size:3781362, Duration(usec):44862454
Size:4165940, Duration(usec):16093499
Size:223952, Duration(usec):45096013
Size:21497, Duration(usec):45034706
Size:595692, Duration(usec):20162275
Size:535871, Duration(usec):48736567
Size:17730939, Duration(usec):169376480
Size:8851364, Duration(usec):115792904
Size:3898, Duration(usec):686235
Size:4822459, Duration(usec):58349195
Size:527077, Duration(usec):7118996
Size:5576341, Duration(usec):56484659
Size:6303, Duration(usec):57624312
Size:17252, Duration(usec):6165004
Size:29109, Duration(usec):16460564
Size:55982, Duration(usec):5847639
Size:25861, Duration(usec):166327719
Size:62129, Duration(usec):40884904
Size:20467, Duration(usec):54782389
Size:37434, Duration(usec):55453828
Size:43493, Duration(usec):164796532
Size:42906, Duration(usec):111905555
Size:2350160, Duration(usec):53912064
Size:29660, Duration(usec):164598438
Size:24263, Duration(usec):9555124
Size:16241, Duration(usec):164493137
Size:4896, Duration(usec):3290312
Size:47151, Duration(usec):3394744
Size:2533, Duration(usec):163363658
