Size:56961, Duration(usec):824537
Size:48602, Duration(usec):1820068
Size:152517, Duration(usec):1569678
Size:48742, Duration(usec):1906844
Size:73841, Duration(usec):658920
Size:436987, Duration(usec):4258534
Size:749494, Duration(usec):7818899
Size:21630, Duration(usec):200555
Size:2512219, Duration(usec):10869611
Size:1896962, Duration(usec):20392182
Size:28432, Duration(usec):488721
Size:10478, Duration(usec):10485301
Size:1861328, Duration(usec):20469010
Size:55554, Duration(usec):3128642
Size:21740, Duration(usec):3173593
Size:4718048, Duration(usec):47422959
Size:592599, Duration(usec):24138036
Size:11302, Duration(usec):17905659
Size:1553795, Duration(usec):18608903
Size:74, Duration(usec):202626
Size:4902, Duration(usec):6232521
Size:3781362, Duration(usec):42615170
Size:4165940, Duration(usec):43798664
Size:223952, Duration(usec):45227800
Size:21497, Duration(usec):45231228
Size:595692, Duration(usec):19790254
Size:535871, Duration(usec):48109475
Size:17730939, Duration(usec):158430946
Size:8851364, Duration(usec):111987593
Size:3898, Duration(usec):126760
Size:4822459, Duration(usec):24626462
Size:527077, Duration(usec):4246434
Size:5576341, Duration(usec):61371077
Size:6303, Duration(usec):23983066
Size:17252, Duration(usec):3303987
Size:29109, Duration(usec):16132938
Size:55982, Duration(usec):3720993
Size:25861, Duration(usec):155856868
Size:62129, Duration(usec):41155874
Size:20467, Duration(usec):59238928
Size:37434, Duration(usec):21690083
Size:43493, Duration(usec):154056890
Size:42906, Duration(usec):108515395
Size:2350160, Duration(usec):55902035
Size:29660, Duration(usec):153867223
Size:24263, Duration(usec):37236036
Size:16241, Duration(usec):153806984
Size:4896, Duration(usec):996164
Size:47151, Duration(usec):1235839
Size:2533, Duration(usec):152677530
