Size:56961, Duration(usec):323039
Size:48602, Duration(usec):2288321
Size:152517, Duration(usec):3047919
Size:48742, Duration(usec):2634023
Size:73841, Duration(usec):1421452
Size:436987, Duration(usec):3914793
Size:749494, Duration(usec):11146219
Size:21630, Duration(usec):193053
Size:2512219, Duration(usec):12220140
Size:1896962, Duration(usec):20191167
Size:28432, Duration(usec):285829
Size:10478, Duration(usec):11893817
Size:1861328, Duration(usec):24267310
Size:55554, Duration(usec):2719831
Size:21740, Duration(usec):3026584
Size:4718048, Duration(usec):46280663
Size:592599, Duration(usec):29654861
Size:11302, Duration(usec):17898594
Size:1553795, Duration(usec):21193541
Size:74, Duration(usec):311037
Size:4902, Duration(usec):8060242
Size:3781362, Duration(usec):38891824
Size:4165940, Duration(usec):37564589
Size:223952, Duration(usec):44043274
Size:21497, Duration(usec):44167549
Size:595692, Duration(usec):19789532
Size:535871, Duration(usec):43320219
Size:17730939, Duration(usec):173502136
Size:8851364, Duration(usec):110172260
Size:3898, Duration(usec):3536666
Size:4822459, Duration(usec):27237931
Size:527077, Duration(usec):8087527
Size:5576341, Duration(usec):60983184
Size:6303, Duration(usec):26586500
Size:17252, Duration(usec):7336766
Size:29109, Duration(usec):16636507
Size:55982, Duration(usec):7721285
Size:25861, Duration(usec):170748770
Size:62129, Duration(usec):40726547
Size:20467, Duration(usec):59065134
Size:37434, Duration(usec):24476857
Size:43493, Duration(usec):169116533
Size:42906, Duration(usec):106720330
Size:2350160, Duration(usec):55910500
Size:29660, Duration(usec):168894641
Size:24263, Duration(usec):31795418
Size:16241, Duration(usec):169005107
Size:4896, Duration(usec):5418172
Size:47151, Duration(usec):5538728
Size:2533, Duration(usec):167988545
