Size:56961, Duration(usec):688098
Size:48602, Duration(usec):958356
Size:152517, Duration(usec):3739248
Size:48742, Duration(usec):297316
Size:73841, Duration(usec):854966
Size:436987, Duration(usec):12063308
Size:749494, Duration(usec):7216737
Size:21630, Duration(usec):120979
Size:2512219, Duration(usec):19309843
Size:1896962, Duration(usec):7123234
Size:28432, Duration(usec):261517
Size:10478, Duration(usec):15793459
Size:1861328, Duration(usec):18553581
Size:55554, Duration(usec):500650
Size:21740, Duration(usec):557794
Size:4718048, Duration(usec):47148167
Size:592599, Duration(usec):10469475
Size:11302, Duration(usec):46095
Size:1553795, Duration(usec):18740408
Size:74, Duration(usec):48680
Size:4902, Duration(usec):41923
Size:3781362, Duration(usec):37265713
Size:4165940, Duration(usec):78969433
Size:223952, Duration(usec):12945702
Size:21497, Duration(usec):12340261
Size:595692, Duration(usec):1994925
Size:535871, Duration(usec):34924753
Size:17730939, Duration(usec):147720221
Size:8851364, Duration(usec):97400787
Size:3898, Duration(usec):241645
Size:4822459, Duration(usec):39267846
Size:527077, Duration(usec):5659805
Size:5576341, Duration(usec):50912405
Size:6303, Duration(usec):32628037
Size:17252, Duration(usec):792783
Size:29109, Duration(usec):150027
Size:55982, Duration(usec):1457363
Size:25861, Duration(usec):119950734
Size:62129, Duration(usec):155375
Size:20467, Duration(usec):31374098
Size:37434, Duration(usec):11352952
Size:43493, Duration(usec):102947988
Size:42906, Duration(usec):61754371
Size:2350160, Duration(usec):16492597
Size:29660, Duration(usec):100415729
Size:24263, Duration(usec):19522013
Size:16241, Duration(usec):99280972
Size:4896, Duration(usec):188526
Size:47151, Duration(usec):969227
Size:2533, Duration(usec):89135971
