Size:56961, Duration(usec):8189585
Size:48602, Duration(usec):571185
Size:152517, Duration(usec):9767965
Size:48742, Duration(usec):191562
Size:73841, Duration(usec):3494496
Size:436987, Duration(usec):3874977
Size:749494, Duration(usec):9191446
Size:21630, Duration(usec):181403
Size:2512219, Duration(usec):40409023
Size:1896962, Duration(usec):30299801
Size:28432, Duration(usec):283280
Size:10478, Duration(usec):26418501
Size:1861328, Duration(usec):28862843
Size:55554, Duration(usec):486208
Size:21740, Duration(usec):89697
Size:4718048, Duration(usec):82916305
Size:592599, Duration(usec):7684494
Size:11302, Duration(usec):327945
Size:1553795, Duration(usec):19711541
Size:74, Duration(usec):114774
Size:4902, Duration(usec):126461
Size:3781362, Duration(usec):70655478
Size:4165940, Duration(usec):79061850
Size:223952, Duration(usec):867344
Size:21497, Duration(usec):127657
Size:595692, Duration(usec):3412691
Size:535871, Duration(usec):14534060
Size:17730939, Duration(usec):317472068
Size:8851364, Duration(usec):183078017
Size:3898, Duration(usec):134616
Size:4822459, Duration(usec):68368645
Size:527077, Duration(usec):8430403
Size:5576341, Duration(usec):82550341
Size:6303, Duration(usec):350368
Size:17252, Duration(usec):968560
Size:29109, Duration(usec):86479
Size:55982, Duration(usec):3539377
Size:25861, Duration(usec):920007
Size:62129, Duration(usec):109380
Size:20467, Duration(usec):4341846
Size:37434, Duration(usec):90201
Size:43493, Duration(usec):138208808
Size:42906, Duration(usec):39882340
Size:2350160, Duration(usec):42078087
Size:29660, Duration(usec):793941
Size:24263, Duration(usec):1235701
Size:16241, Duration(usec):57607
Size:4896, Duration(usec):148852
Size:47151, Duration(usec):1745453
Size:2533, Duration(usec):33025
