Size:56961, Duration(usec):132594
Size:48602, Duration(usec):55828
Size:152517, Duration(usec):504708
Size:48742, Duration(usec):68797
Size:73841, Duration(usec):215134
Size:436987, Duration(usec):2148193
Size:749494, Duration(usec):4340702
Size:21630, Duration(usec):228340
Size:2512219, Duration(usec):15503417
Size:1896962, Duration(usec):11469790
Size:28432, Duration(usec):37338
Size:10478, Duration(usec):12199491
Size:1861328, Duration(usec):11256063
Size:55554, Duration(usec):57053
Size:21740, Duration(usec):34827
Size:4718048, Duration(usec):31307409
Size:592599, Duration(usec):4144265
Size:11302, Duration(usec):25951
Size:1553795, Duration(usec):9120805
Size:74, Duration(usec):31640
Size:4902, Duration(usec):26564
Size:3781362, Duration(usec):23901440
Size:4165940, Duration(usec):26876382
Size:223952, Duration(usec):473298
Size:21497, Duration(usec):466969
Size:595692, Duration(usec):3124785
Size:535871, Duration(usec):19331860
Size:17730939, Duration(usec):117914257
Size:8851364, Duration(usec):59292165
Size:3898, Duration(usec):74032
Size:4822459, Duration(usec):30946260
Size:527077, Duration(usec):2836730
Size:5576341, Duration(usec):35449291
Size:6303, Duration(usec):24495857
Size:17252, Duration(usec):30184
Size:29109, Duration(usec):44124
Size:55982, Duration(usec):97590
Size:25861, Duration(usec):90248974
Size:62129, Duration(usec):140256
Size:20467, Duration(usec):16086775
Size:37434, Duration(usec):3277026
Size:43493, Duration(usec):73420694
Size:42906, Duration(usec):23689022
Size:2350160, Duration(usec):15196869
Size:29660, Duration(usec):71011452
Size:24263, Duration(usec):36743
Size:16241, Duration(usec):69843112
Size:4896, Duration(usec):23731
Size:47151, Duration(usec):110899
Size:2533, Duration(usec):59686366
