Size:56961, Duration(usec):10166446
Size:48602, Duration(usec):5089451
Size:152517, Duration(usec):2821629
Size:48742, Duration(usec):2815408
Size:73841, Duration(usec):5598172
Size:436987, Duration(usec):9350227
Size:749494, Duration(usec):10465515
Size:21630, Duration(usec):5008079
Size:2512219, Duration(usec):9349719
Size:1896962, Duration(usec):52527767
Size:28432, Duration(usec):4259512
Size:10478, Duration(usec):8189559
Size:1861328, Duration(usec):55079742
Size:55554, Duration(usec):5115534
Size:21740, Duration(usec):4710462
Size:4718048, Duration(usec):95113889
Size:592599, Duration(usec):61662776
Size:11302, Duration(usec):45111035
Size:1553795, Duration(usec):13730317
Size:74, Duration(usec):292025
Size:4902, Duration(usec):39459
Size:3781362, Duration(usec):94414934
Size:4165940, Duration(usec):77903806
Size:223952, Duration(usec):84947429
Size:21497, Duration(usec):85144463
Size:595692, Duration(usec):46851763
Size:535871, Duration(usec):94033352
Size:17730939, Duration(usec):203652549
Size:8851364, Duration(usec):163929038
Size:3898, Duration(usec):73216
Size:4822459, Duration(usec):15521589
Size:527077, Duration(usec):5566161
Size:5576341, Duration(usec):55329664
Size:6303, Duration(usec):13342498
Size:17252, Duration(usec):2794826
Size:29109, Duration(usec):35779443
Size:55982, Duration(usec):1623345
Size:25861, Duration(usec):195077206
Size:62129, Duration(usec):72723011
Size:20467, Duration(usec):48822616
Size:37434, Duration(usec):6243899
Size:43493, Duration(usec):189556792
Size:42906, Duration(usec):152403494
Size:2350160, Duration(usec):96952778
Size:29660, Duration(usec):188764993
Size:24263, Duration(usec):58434512
Size:16241, Duration(usec):188601412
Size:4896, Duration(usec):58872
Size:47151, Duration(usec):561662
Size:2533, Duration(usec):185213410
