Size:56961, Duration(usec):132583
Size:48602, Duration(usec):84509
Size:152517, Duration(usec):670542
Size:48742, Duration(usec):109665
Size:73841, Duration(usec):262406
Size:436987, Duration(usec):2623463
Size:749494, Duration(usec):4652651
Size:21630, Duration(usec):31073
Size:2512219, Duration(usec):15924569
Size:1896962, Duration(usec):11863406
Size:28432, Duration(usec):59135
Size:10478, Duration(usec):12439322
Size:1861328, Duration(usec):11973850
Size:55554, Duration(usec):129779
Size:21740, Duration(usec):41777
Size:4718048, Duration(usec):30320309
Size:592599, Duration(usec):4315020
Size:11302, Duration(usec):12139
Size:1553795, Duration(usec):9789912
Size:74, Duration(usec):17935
Size:4902, Duration(usec):26523
Size:3781362, Duration(usec):25315742
Size:4165940, Duration(usec):27668129
Size:223952, Duration(usec):1180652
Size:21497, Duration(usec):500462
Size:595692, Duration(usec):3489767
Size:535871, Duration(usec):20772872
Size:17730939, Duration(usec):117269541
Size:8851364, Duration(usec):61069734
Size:3898, Duration(usec):51297
Size:4822459, Duration(usec):32518253
Size:527077, Duration(usec):3154530
Size:5576341, Duration(usec):37260554
Size:6303, Duration(usec):25878353
Size:17252, Duration(usec):23384
Size:29109, Duration(usec):39227
Size:55982, Duration(usec):133389
Size:25861, Duration(usec):89619132
Size:62129, Duration(usec):203446
Size:20467, Duration(usec):17726452
Size:37434, Duration(usec):4505271
Size:43493, Duration(usec):72767221
Size:42906, Duration(usec):25385974
Size:2350160, Duration(usec):14954402
Size:29660, Duration(usec):70391659
Size:24263, Duration(usec):112236
Size:16241, Duration(usec):69199378
Size:4896, Duration(usec):34062
Size:47151, Duration(usec):80505
Size:2533, Duration(usec):59042633
