Size:56961, Duration(usec):317153
Size:48602, Duration(usec):221980
Size:152517, Duration(usec):924827
Size:48742, Duration(usec):139384
Size:73841, Duration(usec):409105
Size:436987, Duration(usec):2769274
Size:749494, Duration(usec):4681403
Size:21630, Duration(usec):41999
Size:2512219, Duration(usec):16986591
Size:1896962, Duration(usec):12103091
Size:28432, Duration(usec):62172
Size:10478, Duration(usec):15818896
Size:1861328, Duration(usec):13336144
Size:55554, Duration(usec):322217
Size:21740, Duration(usec):62182
Size:4718048, Duration(usec):31544759
Size:592599, Duration(usec):13033316
Size:11302, Duration(usec):4615093
Size:1553795, Duration(usec):10171877
Size:74, Duration(usec):28035
Size:4902, Duration(usec):2971170
Size:3781362, Duration(usec):25383353
Size:4165940, Duration(usec):27741809
Size:223952, Duration(usec):21308023
Size:21497, Duration(usec):21297091
Size:595692, Duration(usec):3701539
Size:535871, Duration(usec):26220089
Size:17730939, Duration(usec):117226823
Size:8851364, Duration(usec):78454473
Size:3898, Duration(usec):16658
Size:4822459, Duration(usec):32061459
Size:527077, Duration(usec):3583974
Size:5576341, Duration(usec):37471554
Size:6303, Duration(usec):29853063
Size:17252, Duration(usec):836603
Size:29109, Duration(usec):56290
Size:55982, Duration(usec):270641
Size:25861, Duration(usec):107961642
Size:62129, Duration(usec):8461737
Size:20467, Duration(usec):30957142
Size:37434, Duration(usec):22790679
Size:43493, Duration(usec):102558485
Size:42906, Duration(usec):66691262
Size:2350160, Duration(usec):18563445
Size:29660, Duration(usec):101719814
Size:24263, Duration(usec):7990296
Size:16241, Duration(usec):101450097
Size:4896, Duration(usec):49785
Size:47151, Duration(usec):688172
Size:2533, Duration(usec):98068400
