Size:56961, Duration(usec):1448606
Size:48602, Duration(usec):146128
Size:152517, Duration(usec):1721956
Size:48742, Duration(usec):159706
Size:73841, Duration(usec):2566567
Size:436987, Duration(usec):9822541
Size:749494, Duration(usec):9587624
Size:21630, Duration(usec):1150190
Size:2512219, Duration(usec):72804801
Size:1896962, Duration(usec):58468340
Size:28432, Duration(usec):1025963
Size:10478, Duration(usec):71713932
Size:1861328, Duration(usec):6166185
Size:55554, Duration(usec):4926115
Size:21740, Duration(usec):4500042
Size:4718048, Duration(usec):90987777
Size:592599, Duration(usec):3512549
Size:11302, Duration(usec):49979328
Size:1553795, Duration(usec):55886635
Size:74, Duration(usec):236370
Size:4902, Duration(usec):56279216
Size:3781362, Duration(usec):85287902
Size:4165940, Duration(usec):88528556
Size:223952, Duration(usec):78295527
Size:21497, Duration(usec):78000361
Size:595692, Duration(usec):51282857
Size:535871, Duration(usec):89310137
Size:17730939, Duration(usec):48497333
Size:8851364, Duration(usec):157462989
Size:3898, Duration(usec):465451
Size:4822459, Duration(usec):102354636
Size:527077, Duration(usec):23611946
Size:5576341, Duration(usec):105940955
Size:6303, Duration(usec):99727289
Size:17252, Duration(usec):21411201
Size:29109, Duration(usec):37782764
Size:55982, Duration(usec):20760418
Size:25861, Duration(usec):37390162
Size:62129, Duration(usec):63078921
Size:20467, Duration(usec):98143476
Size:37434, Duration(usec):91248334
Size:43493, Duration(usec):30820772
Size:42906, Duration(usec):144109557
Size:2350160, Duration(usec):71555836
Size:29660, Duration(usec):29817795
Size:24263, Duration(usec):64841229
Size:16241, Duration(usec):29355615
Size:4896, Duration(usec):12233420
Size:47151, Duration(usec):12779995
Size:2533, Duration(usec):25297656
