Size:56961, Duration(usec):60217
Size:48602, Duration(usec):68845
Size:152517, Duration(usec):494736
Size:48742, Duration(usec):79808
Size:73841, Duration(usec):125198
Size:436987, Duration(usec):2323373
Size:749494, Duration(usec):4321121
Size:21630, Duration(usec):22440
Size:2512219, Duration(usec):16350479
Size:1896962, Duration(usec):11961152
Size:28432, Duration(usec):42609
Size:10478, Duration(usec):14743860
Size:1861328, Duration(usec):12167856
Size:55554, Duration(usec):61060
Size:21740, Duration(usec):44882
Size:4718048, Duration(usec):29406952
Size:592599, Duration(usec):10433929
Size:11302, Duration(usec):671223
Size:1553795, Duration(usec):9751225
Size:74, Duration(usec):23956
Size:4902, Duration(usec):20935
Size:3781362, Duration(usec):24951726
Size:4165940, Duration(usec):28840917
Size:223952, Duration(usec):13014741
Size:21497, Duration(usec):12733535
Size:595692, Duration(usec):3353316
Size:535871, Duration(usec):24650053
Size:17730939, Duration(usec):118840405
Size:8851364, Duration(usec):73330855
Size:3898, Duration(usec):18019
Size:4822459, Duration(usec):31610550
Size:527077, Duration(usec):2852024
Size:5576341, Duration(usec):36762098
Size:6303, Duration(usec):28396014
Size:17252, Duration(usec):64042
Size:29109, Duration(usec):57551
Size:55982, Duration(usec):97498
Size:25861, Duration(usec):104975618
Size:62129, Duration(usec):319995
Size:20467, Duration(usec):27015191
Size:37434, Duration(usec):17957109
Size:43493, Duration(usec):96676337
Size:42906, Duration(usec):55652648
Size:2350160, Duration(usec):15328306
Size:29660, Duration(usec):95452854
Size:24263, Duration(usec):73314
Size:16241, Duration(usec):94938080
Size:4896, Duration(usec):27211
Size:47151, Duration(usec):86449
Size:2533, Duration(usec):89862488
