Size:56961, Duration(usec):2409204
Size:48602, Duration(usec):286677
Size:152517, Duration(usec):2656138
Size:48742, Duration(usec):385293
Size:73841, Duration(usec):252100
Size:436987, Duration(usec):3420868
Size:749494, Duration(usec):6863489
Size:21630, Duration(usec):138955
Size:2512219, Duration(usec):22038253
Size:1896962, Duration(usec):6066839
Size:28432, Duration(usec):665680
Size:10478, Duration(usec):19717927
Size:1861328, Duration(usec):19598857
Size:55554, Duration(usec):546430
Size:21740, Duration(usec):232703
Size:4718048, Duration(usec):68434583
Size:592599, Duration(usec):15209673
Size:11302, Duration(usec):57407
Size:1553795, Duration(usec):45886822
Size:74, Duration(usec):117773
Size:4902, Duration(usec):46245
Size:3781362, Duration(usec):70276140
Size:4165940, Duration(usec):71658351
Size:223952, Duration(usec):48159359
Size:21497, Duration(usec):47738942
Size:595692, Duration(usec):1711739
Size:535871, Duration(usec):72460048
Size:17730939, Duration(usec):135804364
Size:8851364, Duration(usec):134292662
Size:3898, Duration(usec):41249
Size:4822459, Duration(usec):39426925
Size:527077, Duration(usec):2695490
Size:5576341, Duration(usec):96293803
Size:6303, Duration(usec):34995188
Size:17252, Duration(usec):68986
Size:29109, Duration(usec):255544
Size:55982, Duration(usec):282565
Size:25861, Duration(usec):117910776
Size:62129, Duration(usec):22036769
Size:20467, Duration(usec):83539496
Size:37434, Duration(usec):21650378
Size:43493, Duration(usec):106616342
Size:42906, Duration(usec):111300671
Size:2350160, Duration(usec):41862947
Size:29660, Duration(usec):105997003
Size:24263, Duration(usec):32600227
Size:16241, Duration(usec):105196571
Size:4896, Duration(usec):50575
Size:47151, Duration(usec):339919
Size:2533, Duration(usec):98420774
