Size:56961, Duration(usec):148724
Size:48602, Duration(usec):131111
Size:152517, Duration(usec):763646
Size:48742, Duration(usec):126778
Size:73841, Duration(usec):268113
Size:436987, Duration(usec):2607984
Size:749494, Duration(usec):4618918
Size:21630, Duration(usec):49058
Size:2512219, Duration(usec):16656498
Size:1896962, Duration(usec):12346059
Size:28432, Duration(usec):62720
Size:10478, Duration(usec):15496438
Size:1861328, Duration(usec):12657469
Size:55554, Duration(usec):197087
Size:21740, Duration(usec):66684
Size:4718048, Duration(usec):30720172
Size:592599, Duration(usec):12406143
Size:11302, Duration(usec):4728424
Size:1553795, Duration(usec):10079837
Size:74, Duration(usec):27214
Size:4902, Duration(usec):2641598
Size:3781362, Duration(usec):24460705
Size:4165940, Duration(usec):27063280
Size:223952, Duration(usec):20309666
Size:21497, Duration(usec):20095335
Size:595692, Duration(usec):3605022
Size:535871, Duration(usec):25395678
Size:17730939, Duration(usec):117225136
Size:8851364, Duration(usec):76911901
Size:3898, Duration(usec):36113
Size:4822459, Duration(usec):31830904
Size:527077, Duration(usec):3208263
Size:5576341, Duration(usec):37082579
Size:6303, Duration(usec):29622484
Size:17252, Duration(usec):514147
Size:29109, Duration(usec):85392
Size:55982, Duration(usec):202135
Size:25861, Duration(usec):108034902
Size:62129, Duration(usec):7465611
Size:20467, Duration(usec):30669483
Size:37434, Duration(usec):22505525
Size:43493, Duration(usec):102496872
Size:42906, Duration(usec):65153483
Size:2350160, Duration(usec):17522989
Size:29660, Duration(usec):101772122
Size:24263, Duration(usec):7409493
Size:16241, Duration(usec):101395653
Size:4896, Duration(usec):73871
Size:47151, Duration(usec):194846
Size:2533, Duration(usec):98015108
